codigo,CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
358,2020,4,12019000,21,81,SP,817800,24238,24238619,7888806
359,2020,3,12019000,21,827,RO,210200,17316,17316317,5842699
360,2020,1,12019000,21,160,MA,320151,73608,73606194,26099856
361,2020,3,12019000,21,160,PA,217800,58522,58522437,20660276
362,2020,2,12019000,21,756,MT,217800,32000,32000000,11009600
363,2020,4,12019000,21,160,MT,817800,12916,12915980,4373382
364,2020,4,12019000,21,160,RS,927700,7827,7826810,2605412
365,2020,1,12019000,21,160,PR,917800,250228,250226808,91000811
366,2020,2,12019000,21,538,RR,227600,105,104650,35543
367,2020,4,12019000,21,81,MS,917800,7434,7434644,2630081
368,2020,4,12019000,21,160,ND,917800,17550,17550000,5881940
369,2020,4,12019000,21,271,PR,917800,25,25000,23248
370,2020,4,12019000,21,576,GO,917800,2192,2191660,734133
371,2020,1,12019000,21,776,MA,320151,7706,7705746,2756268
372,2020,4,12019000,21,383,MT,210200,13890,13889471,4518801
373,2020,4,12019000,21,858,MT,320151,2883,2883499,992613
374,2020,3,12019000,21,245,AC,227600,345,344680,122420
375,2020,3,12019000,21,160,SP,927502,3964,3964123,1375075
376,2020,2,12019000,21,676,RO,210200,6082,6082276,2075638
377,2020,2,12019000,21,538,RO,227600,3962,3961516,1345489
378,2020,1,12019000,21,72,SP,817700,0,1,0
379,2020,4,12019000,21,858,MS,917800,0,202,71
380,2020,1,12019000,21,399,MT,320151,31,30813,10989
381,2020,4,12019000,21,372,PI,320151,12100,12100000,4238751
382,2020,4,12019000,21,858,RS,927700,381,381490,121886
383,2020,1,12019000,21,160,GO,320151,154,153696,49699
384,2020,3,12019000,21,160,SC,817800,3415,3415497,1171024
385,2020,3,12019000,21,160,SP,817800,760425,760425618,261573218
386,2020,4,12019000,21,160,MT,917800,38751,38750632,12936203
387,2020,4,12019000,21,59,MT,217800,42000,42000000,14631116
388,2020,4,12019000,21,245,PA,320151,13395,13395181,4506037
389,2020,4,12019000,21,383,MT,227600,13103,13101544,4241101
390,2020,4,12019000,21,160,PR,917800,69832,69831768,23605732
391,2020,2,12019000,21,827,RO,227600,11166,11166008,3792423
392,2020,3,12019000,21,81,TO,320151,21694,21693966,7531883
393,2020,4,12019000,21,160,SP,817800,605651,605651640,206944987
394,2020,4,12019000,21,576,SP,927502,4933,4933556,1626594
395,2020,4,12019000,21,81,DF,817800,750,750614,258206
396,2020,3,12019000,21,493,RO,210200,19195,19194884,6459486
397,2020,3,12019000,21,858,SP,817800,6500,6499449,2234703
398,2020,2,12019000,21,827,MT,217800,33080,33079100,11731306
399,2020,1,12019000,21,776,PA,320151,1743,1742747,623363
400,2020,4,12019000,21,160,PA,210200,311,311008,101224
401,2020,4,12019000,21,81,MG,817800,30678,30677868,10205590
402,2020,2,12019000,21,776,RO,210200,500,500000,180000
403,2020,3,12019000,21,576,MS,917800,24816,24815803,8629479
404,2020,3,12019000,21,158,SP,1017500,1,500,655
405,2020,3,12019000,21,81,MA,320151,7008,7008452,2445498
406,2020,3,12019000,21,676,RO,210200,3749,3749353,1318797
407,2020,4,12019000,21,372,ND,817800,28000,28000000,11200000
408,2020,4,12019000,21,160,GO,817800,16895,16895014,5613720
409,2020,1,12019000,21,628,SP,210200,3044,3043657,1088716
410,2020,1,12019000,21,676,MT,210200,31910,31910111,10980908
411,2020,4,12019000,21,249,PR,917800,210,209680,119518
412,2020,3,12019000,21,63,MS,147852,43353,43352890,13818803
413,2020,3,12019000,21,573,TO,217800,4980,4980000,1768608
414,2020,2,12019000,21,538,MT,227600,24730,24730595,8399499
415,2020,4,12019000,21,576,MT,927502,42779,42778511,14104075
416,2020,3,12019000,21,573,PR,927800,80,80000,64000
417,2020,4,12019000,21,576,MT,917800,2053,2053487,668081
418,2020,2,12019000,21,573,SP,817800,11100,11099797,4052187
419,2020,2,12019000,21,628,RO,210200,1230,1230000,438138
420,2020,4,12019000,21,776,ND,817800,70000,70000000,28000000
421,2020,3,12019000,21,493,AL,210200,848,848183,279909
422,2020,3,12019000,21,160,SP,727600,3119,3119338,1110235
423,2020,4,12019000,21,858,SP,917800,32,32358,11358
424,2020,1,12019000,21,160,SC,927700,8105,8105278,3006572
425,2020,1,12019000,21,776,TO,320151,54,53695,19206
426,2020,4,12019000,21,160,MT,927700,1,1041,353
427,2020,1,12019000,21,776,PR,917800,4614,4613626,1640744
