codigo_ocorrencia 1,ocorrencia_classificacao,ocorrencia_uf,ocorrencia_dia,ocorrencia_hora,total_recomendacoes,ocorrencia_saida_pista,ocorrencia_tipo,aeronave_registro_categoria,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_ano_fabricacao,aeronave_fase_operacao,aeronave_assentos
47102,INCIDENTE GRAVE,RO,3/5/2013,12:00:00,0,SIM,POUSO LONGO,AVIÃO,REGULAR,NENHUM,1983,CORRIDA APÓS POUSO,4
47108,ACIDENTE,MG,2/27/2013,18:40:00,0,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,PRIVADA,DESTRUÍDA,2007,DECOLAGEM,6
47109,INCIDENTE GRAVE,MG,3/4/2013,21:23:00,0,NÃO,PANE SECA,AVIÃO,PRIVADA,NENHUM,1985,CRUZEIRO,1
47110,ACIDENTE,MT,3/1/2013,21:20:00,3,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,AGRÍCOLA,DESTRUÍDA,2012,DECOLAGEM,10
47111,INCIDENTE,PR,2/4/2013,22:29:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,PRIVADA,NENHUM,2010,DECOLAGEM,11
47112,INCIDENTE,MG,2/17/2013,15:00:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,TÁXI AÉREO,LEVE,2000,DECOLAGEM,4
47113,INCIDENTE,MG,2/22/2013,16:50:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,PRIVADA,NENHUM,2001,POUSO,2
47114,INCIDENTE,PR,2/25/2013,12:12:00,0,NÃO,PERDA DE COMPONENTE NO SOLO,AVIÃO,INSTRUÇÃO,NENHUM,1992,ARREMETIDA NO SOLO,2
47115,INCIDENTE,PR,3/1/2013,19:45:00,0,SIM,PERDA DE COMPONENTE NO SOLO,AVIÃO,INSTRUÇÃO,NENHUM,1990,CORRIDA APÓS POUSO,4
47116,INCIDENTE,PR,3/3/2013,15:32:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,PRIVADA,NENHUM,2008,TÁXI,2
47117,INCIDENTE,SP,3/6/2013,12:15:00,0,NÃO,PERDA DE COMPONENTE NO SOLO,AVIÃO,INSTRUÇÃO,LEVE,1992,DECOLAGEM,4
47131,INCIDENTE,MS,3/11/2013,16:49:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,EXPERIMENTAL,NENHUM,2011,CORRIDA APÓS POUSO,4
47132,INCIDENTE GRAVE,PE,3/10/2013,12:30:00,0,NÃO,POUSO SEM TREM,AVIÃO,PRIVADA,LEVE,1976,POUSO,1
47133,INCIDENTE GRAVE,BA,3/6/2013,13:50:00,0,NÃO,PERDA DE CONTROLE NO SOLO,AVIÃO,AGRÍCOLA,SUBSTANCIAL,2007,POUSO,2
47134,ACIDENTE,SP,1/28/2013,14:30:00,0,NÃO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,AVIÃO,EXPERIMENTAL,DESTRUÍDA,2011,MANOBRA,6
47138,ACIDENTE,AM,3/11/2013,23:27:00,0,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,PRIVADA,SUBSTANCIAL,1963,POUSO,10
47142,ACIDENTE,PA,3/12/2013,12:30:00,3,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,TÁXI AÉREO,SUBSTANCIAL,1986,CIRCUITO DE TRÁFEGO,2
47143,INCIDENTE,SP,1/9/2013,13:00:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,INSTRUÇÃO,NENHUM,1978,CORRIDA APÓS POUSO,107
47144,INCIDENTE,DF,2/22/2013,19:05:00,0,NÃO,COM TREM DE POUSO,AVIÃO,REGULAR,NENHUM,1993,DECOLAGEM,7
47145,INCIDENTE,GO,3/8/2013,14:13:00,0,NÃO,COM TREM DE POUSO,AVIÃO,TÁXI AÉREO,NENHUM,1985,TÁXI,193
47146,INCIDENTE,SP,3/5/2013,23:45:00,0,NÃO,OUTROS,AVIÃO,REGULAR,NENHUM,2009,DESCIDA,7
