Index, Preço ,Marca,Modelo,Ano,Status do veículo,Milhas,Cor,Estado,País
1248," $ 23,900.00 ",ford,transit,2019,clean vehicle,11077,white,south carolina, usa
1249," $ 40,400.00 ",ford,f-150,2018,clean vehicle,34100,black,indiana, usa
1250," $ 38,000.00 ",ford,srw,2019,clean vehicle,30018,white,minnesota, usa
1251," $ 27,000.00 ",ford,flex,2019,clean vehicle,18279,white,illinois, usa
1252," $ 24,000.00 ",ford,transit,2019,clean vehicle,7373,white,south carolina, usa
1253," $ 30,000.00 ",ford,ranger,2019,clean vehicle,2590,gray,wisconsin, usa
1254," $ 16,200.00 ",ford,fusion,2019,clean vehicle,41662,white,south carolina, usa
1255," $ 30,000.00 ",ford,flex,2019,clean vehicle,15019,gray,wisconsin, usa
1256," $ 23,900.00 ",ford,transit,2019,clean vehicle,9420,white,south carolina, usa
1257," $ 13,800.00 ",ford,taurus,2018,clean vehicle,41864,white,missouri, usa
1258," $ 23,700.00 ",ford,transit,2019,clean vehicle,16829,white,south carolina, usa
1259," $ 24,300.00 ",ford,f-150,2018,clean vehicle,6290,gray,illinois, usa
1260," $ 54,900.00 ",ford,srw,2019,clean vehicle,14393,black,nevada, usa
1261," $ 22,500.00 ",ford,taurus,2018,clean vehicle,14599,white,wisconsin, usa
1262," $ 39,000.00 ",ford,f-150,2018,clean vehicle,25839,gray,illinois, usa
1263," $ 13,900.00 ",ford,escape,2018,clean vehicle,60715,gray,wisconsin, usa
1264," $ 24,700.00 ",ford,explorer,2018,clean vehicle,23350,red,illinois, usa
1265," $ 20,100.00 ",ford,transit,2018,clean vehicle,62386,white,california, usa
1266," $ 22,000.00 ",ford,mustang,2018,clean vehicle,6248,red,illinois, usa
1267," $ 38,200.00 ",ford,mustang,2019,clean vehicle,878,green,florida, usa
1268," $ 24,400.00 ",ford,transit,2018,clean vehicle,49710,white,california, usa
1269," $ 35,000.00 ",ford,mustang,2018,clean vehicle,2042,blue,illinois, usa
1270," $ 18,600.00 ",ford,flex,2019,clean vehicle,7742,white,florida, usa
1271," $ 22,700.00 ",ford,transit,2018,clean vehicle,39733,white,california, usa
1272," $ 38,000.00 ",ford,f-150,2018,clean vehicle,33701,black,illinois, usa
1273," $ 17,000.00 ",ford,door,2014,clean vehicle,67542,red,illinois, usa
